step,phase,sent_length,source,prob,initial_state_prob_class,sentence,sentence_id,avg_response
1,early,long,GSN,-98.1505,low,"Park features some of the most iconic and memorable styles in the Korean industry, ranging from her signature tail lilt eye make-up, to her bold hair styles and clothing.",1114426_0_0,100
1,early,long,MH,-26.274582,high,"However, in the tenth and final round, Prescott was knocked down and then hurt by a series of punches from Alvarado, which forced the referee to stop the fight.",480032_0_0,100
1,early,medium,GSN,-66.71224,low,"On June 12, the volcano’s first spectacular eruption sent an ash column into the atmosphere.",12_0_0,100
1,early,short,GSN,-38.521736,low,His institute was instrumental in the international radiation research.,3_0_0,100
1,early,short,GSN,-32.627033,low,As of 2019 the website hosted over 200 biographies.,2_0_0,100
1,early,short,GSN,-20.472275,high,The individual diving competitions all consist of three rounds.,1478396_1_0,100
1,early,short,MH,-9.405914,high,"In her career, she made over 140 films.",8_7_0,100
2,early,medium,GSN,-9.284487,high,He was given an envelope and told to write his name in pencil on the back of it.,19_0_0,100
2,early,medium,MH,-9.284486,high,He was given an envelope and told to write his name in pencil on the back of it.,19_1_0,100
2,early,short,GSN,-19.354727,high,The theme song was composed by Alan MacKaye.,1359180_4_0,100
4,early,long,MH,-95.90633,low,"By the 1940s the AM broadcast industry had abandoned the Blaw-Knox design for the modern type of narrow, uniform cross section lattice mast, which had a better radiation pattern.",1329856_1_0,100
4,early,medium,GSN,-62.09136,low,"On June 12, the volcano’s first major eruption ejected an ash column into the atmosphere.",12_6_0,100
4,early,medium,GSN,-23.224005,high,"She has earned international recognition for her experimental, documentary, animation, and cross-platform productions.",15_2_0,100
4,early,medium,GSN,-9.284487,high,He was given an envelope and told to write his name in pencil on the back of it.,19_4_0,100
4,early,short,GSN,-21.9218,high,The individual diving events also consist of three rounds.,1478396_5_0,100
4,early,short,GSN,-17.628433,high,The theme song was composed by Andrew Beare.,1359180_2_0,100
8,early,short,GSN,-13.283388,high,The theme music was composed by Tom Hanley.,1359180_6_0,100
8,early,short,MH,-9.674969,high,A total of 107 countries were invited to participate.,1371762_4_0,100
8,early,short,MH,-7.323264,high,About 40 campers attend the camp each year.,717691_4_0,100
8,early,short,MH,-6.9932165,high,The territory of the municipality is divided into sectors.,9_0_0,100
16,early,long,MH,-27.226997,high,"He has repeatedly been praised as a person of unquestionable integrity and has been singled out for his cheerfulness, self-effacing manner, and humanitarianism.",29_6_0,100
16,early,medium,GSN,-49.046448,low,It's a parade full of bicycles accompanied with the music from steel workers and local bands.,14_5_0,100
16,early,short,GSN,-20.75008,low,His oldest son is also called Upocho.,932629_4_1,100
16,early,short,GSN,-4.7091665,high,"In her career, she directed over 100 films.",8_2_1,100
16,early,short,MH,-8.818324,high,A total of 3 teams were invited to compete.,1371762_2_1,100
32,early,long,MH,-44.675068,high,Lake Superior has less input nutrients relative to its water level than the northwestern Great Lakes and so is more efficient in terms of food production and is an oligotrophic reservoir.,659772_7_0,100
32,early,medium,MH,-12.450632,high,"The growth rate is rapid in the first year, but slows down as the fish age.",2166262_3_1,100
32,early,short,GSN,-57.840836,low,This artillery style is also nicknamed Jiaillao.,932629_2_3,100
32,early,short,MH,-17.19336,low,Several scientific research institutes conduct research on WTO.,0_5_3,100
32,early,short,MH,-13.783741,high,The field hockey competitions all consisted of eight events.,1478396_1_3,100
32,early,short,MH,-6.800315,high,He grew up with seven brothers and two sisters.,780378_6_3,100
32,early,short,MH,-6.0174613,high,The theme music was composed by Robin Thicke.,1359180_7_3,100
64,early,long,MH,-50.27884,low,"Michelinis greatest achievement is in his painting of approximately 90 large canvases of recreation and sporting areas, a field on which he remained virtually unchallenged long thereafter.",284255_4_1,100
64,early,short,gibbs,-8.8974085,high,It was early morning and the road was clear.,6_5_6,100
64,early,short,MH,-4.6373286,high,She grew up with five brothers and three sisters.,780378_9_6,100
64,early,short,MH,-4.164865,high,"Aside from teaching, he continued to compose music.",7_8_6,100
128,early,medium,GSN,-15.896162,high,"She had always dreamed of writing fiction, and it influenced writing and reading during her teenage years.",595107_1_6,100
128,early,medium,MH,-16.670698,high,"After completing her elementary and secondary studies, she enrolled at ucla where she majored in gunnery.",17_4_6,100
128,early,medium,MH,-15.908498,low,It's a circus full of animals accompanied by the playing of electric guitars by rock bands.,14_2_6,100
128,early,short,GSN,-23.746992,high,About 40 girl guides tour the park every summer.,717691_1_12,100
128,early,short,GSN,-6.3717194,low,Braunschweig's father died in Berlin.,1367427_3_12,100
128,early,short,MH,-19.951546,low,This specially recorded broadcast used an electric record player.,1421311_8_12,100
128,early,short,MH,-14.803548,high,"In her twenties, she made over 1000 drawings.",8_5_12,100
256,early,medium,GSN,-27.155832,high,"He also often studied the greek classics, which have influenced art and culture since the classical centuries.",595107_1_13,100
256,early,short,GSN,-5.183349,high,A maximum of two competitors were allowed to compete.,1371762_1_25,100
512,early,short,GSN,-8.315076,high,Throughout her career she appeared in over 110 films.,8_9_51,100
1024,early,short,GSN,-4.582497,high,She grew up with four brothers and four sisters.,780378_5_102,100
1024,early,short,MH,-3.8332665,high,"During his career, he won the 400 metres.",8_4_102,100
2048,early,short,GSN,-15.644421,low,The state of Arkansas is divided by two highways.,1_9_204,100
2048,early,short,GSN,-11.414222,low,Logan stood up and went back to his chair.,4_6_204,100
4096,early,short,GSN,-5.0848722,low,"She was, however, later euthanised.",406112_2_409,100
18359,late,short,GSN,-1.9315256,low,"""No, that's fine with me.",2_0_1835,100
19959,late,short,GSN,-27.672522,low,"(Antwerp, Historical Society, February 2008).",2_4_1995,100
19959,late,short,GSN,-2.739778,high,I placed my hand on the doorknob.,5_7_1995,100
19959,late,short,GSN,-1.3242718,low,It is found on the mediterranean island of Cyprus.,3_4_1995,100
34123,late,medium,GSN,-17.354927,low,"Stadium Municipal de Barcelona (168,000 seats) is a stadium in Barcelona, Catalonia, Spain.",11_2_1795,100
36023,late,medium,GSN,-15.662962,high,"Kade had been silent, as if considering what to say about the death of his baby sister.",1472874_8_1895,100
37923,late,medium,GSN,-10.317084,high,Lianwu Chaoyang railway station is located on the main line between Shanghai and Chaoyang.,18_4_1995,100
37923,late,medium,GSN,-3.715352,low,He played at international level as a full-back between 1998-99 and 2005-06.,12_4_1995,100
128,early,short,MH,-10.974518,high,I grew up with six brothers and five sisters.,780378_3_12,99.83333333333333
8192,early,short,GSN,-12.732321,low,She tried to help Thaddeus that day.,0_6_819,99.8
19959,late,short,GSN,-0.31265488,high,It is within the city limits of Los Angeles.,5_5_1995,99.8
37923,late,medium,GSN,-24.9963,low,"Qeben comes from the Berber word qeba (""the three pines"").",11_4_1995,99.8
4,early,short,GSN,-4.7091665,high,"In her career, she directed over 100 films.",8_2_0,99.75
9959,late,short,gibbs,-0.42936665,high,I closed my eyes and took several deep breaths.,7_9_995,99.75
19959,late,short,GSN,-1.0625224,high,My eyes closed and I took a deep breath.,1359180_6_1995,99.75
1,early,short,gibbs,-8.025244,high,She grew up with five brothers and ten sisters.,8_0_0,99.66666666666667
2,early,short,MH,-7.174132,high,"In her career, she made over 200 films.",8_1_0,99.66666666666667
32,early,short,GSN,-15.940899,high,The title song was composed by George Keene.,1359180_8_3,99.66666666666667
128,early,long,GSN,-11.864416,high,"The format also changed, with the bottom four teams in each pool going through to the semi-final round, and with the winners of each pool going through to the final.",25_4_3,99.66666666666667
19959,late,short,GSN,-4.6121836,low,I could see the scar on his left hand.,1_5_1995,99.625
64,early,short,MH,-6.541954,high,About 500 campers visit the camp each year.,717691_7_6,99.6
4,early,medium,MH,-16.613503,high,"After receiving her primary and secondary education, Schmidt enrolled in college where she majored in journalism.",17_1_0,99.5
16,early,short,MH,-7.751181,high,Around 100 campers visit the camp every year.,717691_2_1,99.5
8192,early,short,GSN,-8.539526,high,I tried to see which way she was heading.,1359180_2_819,99.5
8192,early,short,MH,-10.984868,high,"After a while, Rae gives us our orders.",8_0_819,99.5
14909,late,short,gibbs,-1.897788,high,"""I just want to talk to you.""",8_4_1490,99.5
19959,late,short,GSN,-8.388877,low,He serves on the Senate Committee on American Heritage.,406112_4_1995,99.5
19959,late,short,GSN,-15.815407,high,I am a little mixed up with the tale.,780378_6_1995,99.4
1,early,short,GSN,-8.281642,high,"In her career, she made over 60 films.",8_0_0,99.25
4,early,short,MH,-17.986103,high,About 170 campers attend base camp each week.,717691_1_0,99.25
32,early,short,GSN,-7.6778746,high,A total of 46 athletes were reported to participate.,1371762_0_3,99.25
19959,late,short,GSN,-4.7722154,low,He looks at me slowly and shakes his head.,1367427_4_1995,99.25
512,early,short,GSN,-2.5406318,high,He grew up with 2 brothers and 2 sisters.,780378_8_51,99.2
1024,early,short,GSN,-4.091735,high,"During this period, he played for several teams.",8_2_102,99.2
19959,late,short,GSN,-10.015337,high,He had to get back to the parade grounds.,1371762_0_1995,99.16666666666667
19959,late,short,GSN,-9.210287,low,John Ellesmere Ridgeway was a painter.,2_6_1995,99.16666666666667
1,early,long,GSN,-29.207155,high,"He has also been praised as a man of unquestionable character and has been singled out for his humble spirit, self-effacing manner, and humanitarianism.",29_1_0,99
2,early,medium,MH,-16.613503,high,"After receiving her primary and secondary education, Schmidt enrolled in college where she majored in journalism.",17_1_0,99
