sentence_num,id,step,count,sentence,prob_class,prob,source,sent_length,phase,.folds
20,0_1795,34,62859,It's not because I'm flustered at the moment; I'm methodical. I've helped lighten the (melpowering) chandelier.,low,-44.388092,gibbs,long,late,11
20,0_1995,34,69859,Paul interrupted a training session between whoever stole bases his teammate Chippendale Fowler and whoever appeased stolen bases Fowler came out and fought with Paul to a 152-152 draw.,low,-19.89472,MH,long,late,58
20,1_1995,34,69859,The club competed in the 2012 finals series and then competed in the New South Wales Rugby League Division One (NRL) before becoming the Parramatta Eels for the 2014-15 season.,low,-11.885743,gibbs,long,late,32
20,1_1995,34,69859,"Publishers began favoring Forster over another publishing company's, and second sight made the recently widowed Forster shortly thereafter ask questions that hinted at rape by a seven-man posse.",low,-31.184792,MH,long,late,35
20,2_1895,34,66359,"Or just because he was so ignorant and no one had told him what she did and why she did it? Dosadi tried to say something, but Frank ignored it completely.",low,-34.369164,gibbs,long,late,23
20,2_1995,34,69859,"Where possible the death toll included Iowa State students and other disadvantaged youth and "nearly every Cedar Rapids football offensive lineman" trying to feed his family on a 1927 to 1930 basis.",low,-34.269894,MH,long,late,55
20,3_1955,34,68459,The epidermal ACH antibody of 3 (parent) was established in 1974 as secondary antibody used for vertebrate retinopathy and other eukaryotic disorders.,low,-59.778008,gibbs,long,late,28
20,3_1995,34,69859,"Getting better informed and keeping alive the 1st baseman's innocence, Quigley revolves around deified 1st baseman who tracks down what constitutes a date with a brain tumor cancer patient.",low,-36.314224,MH,long,late,41
20,4_1995,34,69859,"She returned to the Fed cup, but lost to Kateryna Sokolayska 6:4 and Sofiya Semyonova 6:3 in the quarterfinals.",low,-21.738728,gibbs,long,late,33
20,4_1995,34,69859,While pestering African Americans whose senate seats currently're too narrow Cortazar used Panamanian racist tactics and went on to put in place laws charging African Americans with discrimination.,low,-23.897236,MH,long,late,39
20,5_1955,34,68459,"Released on July 4, 1992 and reaching number three in Ireland, with sales of around 30,000 album copies the album went to number four in the UK and Northern Ireland.",low,-29.264019,gibbs,long,late,37
20,5_1995,34,69859,"After setting aside alcoholic beverages given to Venezuelan citizens without eyesight, Carmona, wearing traditional Venezuelan wannabe clothes, once again contracted scarlet fever at the k-12 level.",low,-18.852167,MH,long,late,40
20,6_1515,34,53059,"In 2012, he and his wife, Suzy Roberts, convinced Ydue to change his stage name to James Christopher Perray. James Christopher Roberts was born in Tallahassee.",low,-54.864197,gibbs,long,late,29
20,6_1995,34,69859,"Stadium officials in Linz, where Silicon Valley's star Derek Jeter was having already earned draft picks, took steps to inform stadium officials of the 1-1 tie.",low,-19.743458,MH,long,late,50
20,7_1575,34,55159,"[Belgian kitchens] controlled for "heat water", and [Swedish kitchens] controlled for "fire mask water" ; [French kitchens] were "overcrowded".",low,-36.88499,gibbs,long,late,36
20,7_1935,34,67759,"Handing out a martini glass to Brooklyn archivist's Adonis Ashcroft, the Buffalo Sabres squad leader barely slithered but was busy staring at the locker room squad leader.",low,-31.461243,MH,long,late,30
